epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2281.08,2.20292,2.0322,1.20229,0.72412,0.65516,0.72847,0.36553,1.89514,1.09021,0.9795,0.0700224,0.00333084,0.00333084
2,2696.83,2.0838,1.44383,1.12041,0.64966,0.48958,0.60392,0.30275,2.05964,1.338,1.01408,0.0399565,0.0065982,0.0065982
3,3107.63,2.15599,1.53608,1.15531,0.74514,0.51246,0.64383,0.30748,2.13911,1.27096,1.04261,0.00982449,0.00979956,0.00979956
4,3517.18,2.17473,1.53508,1.17465,0.79589,0.49873,0.65083,0.30862,2.09023,1.2901,1.00713,0.009703,0.009703,0.009703
5,3926.81,2.06681,1.37855,1.14307,0.77287,0.58242,0.69564,0.34035,2.0237,1.15457,1.00899,0.009604,0.009604,0.009604
6,4336.37,1.9806,1.26921,1.11076,0.78271,0.6715,0.75543,0.37898,1.93092,1.02053,0.97356,0.009505,0.009505,0.009505
7,4746.72,1.91846,1.18454,1.08868,0.81974,0.68012,0.77415,0.39584,1.86891,1.00561,0.9754,0.009406,0.009406,0.009406
8,5156.57,1.8717,1.13229,1.07527,0.82805,0.70162,0.79657,0.41408,1.84217,0.94569,0.95294,0.009307,0.009307,0.009307
9,5566.2,1.83098,1.09477,1.06135,0.83465,0.70038,0.79928,0.42339,1.80155,0.91616,0.95266,0.009208,0.009208,0.009208
10,5976.58,1.78499,1.04831,1.04931,0.84738,0.74428,0.83144,0.45092,1.71936,0.87106,0.93168,0.009109,0.009109,0.009109
11,6386.46,1.75194,1.02541,1.03675,0.80903,0.76453,0.83341,0.4512,1.73708,0.84742,0.92803,0.00901,0.00901,0.00901
12,6796.06,1.72102,0.98259,1.03078,0.85801,0.77191,0.86131,0.46471,1.68803,0.85975,0.92259,0.008911,0.008911,0.008911
13,7205.9,1.68179,0.94703,1.01704,0.84947,0.76822,0.84465,0.46731,1.69878,0.82324,0.91743,0.008812,0.008812,0.008812
14,7615.79,1.65922,0.93323,1.00408,0.88314,0.7599,0.84822,0.48045,1.65809,0.80265,0.9134,0.008713,0.008713,0.008713
15,8025.67,1.62577,0.90589,1.00078,0.86906,0.78516,0.85777,0.48343,1.64942,0.79406,0.91083,0.008614,0.008614,0.008614
16,8435.38,1.6053,0.8854,0.99678,0.90141,0.78203,0.86949,0.50153,1.61942,0.77227,0.89741,0.008515,0.008515,0.008515
17,8845.16,1.58275,0.86832,0.98786,0.87203,0.78908,0.86008,0.49833,1.61153,0.78844,0.89689,0.008416,0.008416,0.008416
18,9254.82,1.55595,0.85212,0.98135,0.86684,0.80689,0.86855,0.50248,1.58133,0.77012,0.89376,0.008317,0.008317,0.008317
19,9664.79,1.53537,0.83368,0.97411,0.87979,0.8026,0.87202,0.51952,1.54876,0.73667,0.8874,0.008218,0.008218,0.008218
20,10074.9,1.51096,0.81983,0.97292,0.89811,0.80008,0.87723,0.51441,1.5725,0.72452,0.88535,0.008119,0.008119,0.008119
21,10484.2,1.49981,0.80468,0.96701,0.88406,0.80379,0.88004,0.51701,1.56456,0.73301,0.88752,0.00802,0.00802,0.00802
22,10893.7,1.48453,0.80008,0.96186,0.90648,0.81273,0.89016,0.52467,1.53584,0.71042,0.88565,0.007921,0.007921,0.007921
23,11303.7,1.4577,0.78218,0.95755,0.87558,0.8238,0.88453,0.51852,1.51563,0.70506,0.87747,0.007822,0.007822,0.007822
24,11713.6,1.43955,0.77002,0.94896,0.91945,0.77897,0.88562,0.52859,1.53526,0.70175,0.87928,0.007723,0.007723,0.007723
25,12123.3,1.42595,0.75745,0.94708,0.88121,0.83822,0.89332,0.53908,1.49896,0.68851,0.87469,0.007624,0.007624,0.007624
26,12532.9,1.40906,0.74623,0.94327,0.89523,0.84435,0.89998,0.54196,1.5103,0.67713,0.87636,0.007525,0.007525,0.007525
27,12942.9,1.39046,0.73716,0.93946,0.91354,0.81473,0.89899,0.5367,1.50602,0.67477,0.87923,0.007426,0.007426,0.007426
28,13352.7,1.37296,0.72695,0.93431,0.91685,0.82024,0.89526,0.54098,1.50023,0.67142,0.87593,0.007327,0.007327,0.007327
29,13762.4,1.36341,0.71654,0.93218,0.87667,0.85478,0.90405,0.55127,1.4693,0.65981,0.87042,0.007228,0.007228,0.007228
30,14172.6,1.35442,0.71019,0.93099,0.90882,0.85663,0.90969,0.55431,1.46535,0.65864,0.8683,0.007129,0.007129,0.007129
31,14583.1,1.32427,0.69371,0.9254,0.92236,0.82715,0.89909,0.54706,1.46851,0.66078,0.86847,0.00703,0.00703,0.00703
32,14993.1,1.32256,0.69536,0.9245,0.90476,0.82624,0.89769,0.55086,1.47542,0.66244,0.86937,0.006931,0.006931,0.006931
33,15402.9,1.30374,0.68043,0.9195,0.91284,0.82645,0.89766,0.54936,1.44736,0.65498,0.86878,0.006832,0.006832,0.006832
34,15813.3,1.28906,0.6729,0.91704,0.93595,0.82589,0.90412,0.55726,1.44171,0.64379,0.86623,0.006733,0.006733,0.006733
35,16223.5,1.27693,0.66348,0.916,0.94033,0.8174,0.90639,0.55455,1.44774,0.64247,0.86692,0.006634,0.006634,0.006634
36,16633.9,1.27258,0.66093,0.91517,0.93293,0.81947,0.90812,0.55443,1.44741,0.64264,0.86712,0.006535,0.006535,0.006535
37,17043.8,1.26209,0.65448,0.90896,0.93791,0.81524,0.90571,0.55624,1.45251,0.64027,0.86607,0.006436,0.006436,0.006436
38,17453.9,1.24891,0.64742,0.90602,0.91508,0.83133,0.9058,0.55932,1.45262,0.63274,0.86618,0.006337,0.006337,0.006337
39,17864.5,1.23166,0.64094,0.90512,0.92747,0.83025,0.90529,0.55651,1.44682,0.63042,0.86674,0.006238,0.006238,0.006238
40,18274.3,1.22609,0.63576,0.90074,0.93669,0.81779,0.90591,0.56042,1.44697,0.62643,0.86685,0.006139,0.006139,0.006139
41,18684.1,1.21369,0.62581,0.89996,0.93466,0.82953,0.9057,0.56214,1.45305,0.62413,0.86672,0.00604,0.00604,0.00604
42,19094.2,1.19874,0.62277,0.89537,0.93461,0.82891,0.90637,0.5626,1.45013,0.62517,0.8662,0.005941,0.005941,0.005941
43,19504.1,1.20084,0.61999,0.89648,0.94899,0.81947,0.90741,0.56502,1.44671,0.62352,0.86711,0.005842,0.005842,0.005842
44,19914.5,1.18423,0.61105,0.89348,0.95,0.82346,0.90869,0.56356,1.44079,0.6196,0.86706,0.005743,0.005743,0.005743
45,20323.8,1.16924,0.60367,0.89111,0.95625,0.82148,0.90896,0.56591,1.43412,0.6179,0.86613,0.005644,0.005644,0.005644
46,20733.6,1.16662,0.60211,0.89098,0.94757,0.81761,0.90706,0.56657,1.42841,0.61477,0.86566,0.005545,0.005545,0.005545
47,21143.7,1.15667,0.59316,0.88583,0.94696,0.81488,0.90591,0.56777,1.42501,0.6125,0.86541,0.005446,0.005446,0.005446
48,21553.5,1.15263,0.59711,0.88868,0.94867,0.81928,0.90906,0.5677,1.41999,0.61149,0.86581,0.005347,0.005347,0.005347
49,21963.3,1.12585,0.58231,0.88304,0.94295,0.82392,0.90955,0.56818,1.42022,0.61289,0.8658,0.005248,0.005248,0.005248
50,22373.6,1.12044,0.57831,0.88136,0.94297,0.8256,0.91016,0.56767,1.41945,0.60932,0.86496,0.005149,0.005149,0.005149
51,22783.5,1.11209,0.57301,0.87848,0.94539,0.82477,0.91083,0.5697,1.41422,0.61021,0.8647,0.00505,0.00505,0.00505
52,23193.2,1.09844,0.56678,0.87865,0.94254,0.8295,0.91092,0.56865,1.41076,0.60852,0.86377,0.004951,0.004951,0.004951
53,23602.4,1.09561,0.56541,0.87406,0.94305,0.8256,0.90908,0.56915,1.41059,0.60538,0.8634,0.004852,0.004852,0.004852
54,24012.2,1.07726,0.55218,0.87235,0.94435,0.83046,0.91273,0.57032,1.40913,0.60266,0.86304,0.004753,0.004753,0.004753
55,24422.4,1.07436,0.55393,0.87224,0.94734,0.82376,0.91131,0.57051,1.40836,0.60361,0.86291,0.004654,0.004654,0.004654
56,24832.5,1.07127,0.55021,0.87182,0.95138,0.82402,0.9136,0.5716,1.40801,0.60289,0.86328,0.004555,0.004555,0.004555
57,25242.7,1.05419,0.54062,0.86824,0.89902,0.86984,0.91469,0.57313,1.40551,0.603,0.8627,0.004456,0.004456,0.004456
58,25653,1.04707,0.54033,0.86726,0.94453,0.82249,0.91118,0.57178,1.40182,0.59951,0.86242,0.004357,0.004357,0.004357
59,26062.9,1.03608,0.53263,0.86309,0.89538,0.8677,0.91206,0.57342,1.39917,0.60011,0.8622,0.004258,0.004258,0.004258
60,26472.7,1.02785,0.52841,0.86258,0.89966,0.86984,0.91347,0.57336,1.39984,0.59828,0.86217,0.004159,0.004159,0.004159
61,26882.4,1.01762,0.5239,0.86212,0.89764,0.86984,0.91348,0.57314,1.40146,0.59644,0.86276,0.00406,0.00406,0.00406
62,27292,1.01426,0.51893,0.86145,0.90377,0.86389,0.91251,0.57234,1.4021,0.59875,0.86283,0.003961,0.003961,0.003961
63,27702.2,1.00128,0.51581,0.85869,0.90205,0.86272,0.91143,0.57183,1.4026,0.59923,0.86276,0.003862,0.003862,0.003862
64,28112.2,0.99676,0.51193,0.85826,0.90128,0.8616,0.91177,0.57236,1.40195,0.59717,0.86259,0.003763,0.003763,0.003763
